Coin,Buy Rate,Change %
BTC,$10283.41,4.02
ETH,$414.76,0.9
BCC,$930.65,20.56
XRP,$0.290895,6.09
LTC,$77.93,3.91
DASH,$380.45,-0.03
ANS,$36.12,0.0
XEM,$0.245671,1.78
XMR,$121.21,1.41
MIOTA,$0.534593,6.46
ETC,$14.49,0.22
QTUM,$13.739966,-1.27
OMG,$9.04,3.8
ZEC,$313.60,0.27
EOS,$1.65,14.66
LSK,$6.13,-2.65
USDT,$1.438641,-0.17
STR,$0.037020,-1.38
WAVES,$4.306793,4.39
STRAT,$3.961065,-9.52
BCN,$0.001851,-5.74
KMD,$3.284828,7.8
STEEM,$1.28,3.38
ARK,$3.085022,-0.25
ARDR,$0.297190,3.76
REP,$23.86,0.16
PAY,$2.446422,11.74
GNT,$0.276829,-4.2
MAID,$0.458913,-8.95
PIVX,$3.682282,-2.32
BAT,$0.193739,-1.89
VTC,$4.562644,-24.22
DOGE,$0.001748,7.28
KNC,$1.404713,1.57
FCT,$18.80,7.04
SC,$0.005245,2.01
SALT,$3.235057,-6.65
CVC,$0.426761,-0.22
GAME,$2.238492,-2.12
MTL,$6.80,-7.12
XVG,$0.009152,6.8
DGB,$0.011105,-1.79
BQX,$1.262519,31.76
FUN,$0.022109,1.99
MCO,$8.432290,1.12
NXT,$0.079999,-0.32
NXS,$1.385380,-7.14
XZC,$21.692021,7.73
ADX,$1.067417,0.43
PPC,$1.85,-3.65
RDD,$0.001645,-0.08
RISE,$0.358274,-11.78
ENG,$0.503373,-3.29
SAFEX,$0.009461,-5.33
LBC,$0.182839,-5.59
POWR,$0.137695,25.21
BTG,$183.219434,-9.23
